    Step    Atoms         tot[4]       pairc[4]           f[4]         mvv[4]         Volume         KinEng 
   19500     1000     -555.86986     -449.12509              0     -106.74477           1000       21571157 
   19600     1000     -535.18278     -430.46501              0     -104.71776           1000       21586396 
   19700     1000     -541.92048     -421.46522              0     -120.45526           1000       21683525 
   19800     1000     -545.56207     -425.25376              0     -120.30831           1000       21711971 
   19900     1000     -559.92195      -447.5167              0     -112.40525           1000       21685240 
   20000     1000     -541.72385     -438.16626              0      -103.5576           1000       21696003 
   20100     1000     -592.90372     -480.23109              0     -112.67263           1000       21652550 
   20200     1000     -533.79532     -419.34635              0     -114.44898           1000       21666159 
   20300     1000     -546.34402     -432.83502              0       -113.509           1000       21611344 
   20400     1000     -550.59584     -440.34417              0     -110.25167           1000       21811455 
   20500     1000      -546.0833     -441.33442              0     -104.74888           1000       21759089 
   20600     1000     -540.35073      -418.6969              0     -121.65383           1000       21805886 
   20700     1000     -572.90335     -459.30741              0     -113.59594           1000       21716448 
   20800     1000     -539.19803     -414.03876              0     -125.15926           1000       21624635 
   20900     1000     -548.52221     -432.47681              0      -116.0454           1000       21560259 
   21000     1000     -543.81691     -433.85719              0     -109.95972           1000       21547212 
   21100     1000     -587.54808     -472.49097              0     -115.05711           1000       21558195 
   21200     1000     -564.08913     -453.62169              0     -110.46743           1000       21455745 
   21300     1000     -538.97405     -435.72445              0      -103.2496           1000       21346203 
   21400     1000     -543.77174     -448.36298              0     -95.408753           1000       21449498 
   21500     1000     -542.38896     -448.12667              0     -94.262293           1000       21521780 
   21600     1000     -558.26943     -458.66331              0     -99.606119           1000       21598845 
   21700     1000      -543.6084     -434.23667              0     -109.37174           1000       21667793 
   21800     1000     -541.36522      -430.6005              0     -110.76473           1000       21746458 
   21900     1000     -539.57212     -427.00469              0     -112.56743           1000       22029579 
   22000     1000     -531.39975     -429.98475              0     -101.41499           1000       21975469 
   22100     1000     -517.85978     -409.63532              0     -108.22447           1000       22109069 
   22200     1000     -530.31063       -417.685              0     -112.62563           1000       21997810 
   22300     1000     -518.43936     -427.47762              0      -90.96174           1000       22014570 
   22400     1000     -511.32602     -406.40079              0     -104.92523           1000       21912427 
   22500     1000     -519.33032     -401.98781              0     -117.34251           1000       21876766 
   22600     1000      -539.4978     -423.17603              0     -116.32177           1000       21931953 
   22700     1000     -549.90804     -429.84828              0     -120.05976           1000       22087488 
   22800     1000     -518.64551     -401.75567              0     -116.88984           1000       21805784 
   22900     1000     -556.41344     -446.61291              0     -109.80053           1000       21670591 
   23000     1000     -534.59426     -415.70986              0      -118.8844           1000       21600082 
   23100     1000     -562.44697     -456.11437              0      -106.3326           1000       21587534 
   23200     1000     -564.99073     -449.49959              0     -115.49114           1000       21600553 
   23300     1000     -541.54044     -409.50009              0     -132.04035           1000       21672270 
   23400     1000     -558.50071     -437.43155              0     -121.06916           1000       21653384 
   23500     1000     -574.01349     -456.53447              0     -117.47902           1000       21664605 
   23600     1000     -579.70524     -472.45205              0      -107.2532           1000       21770062 
   23700     1000      -562.4694     -438.51297              0     -123.95642           1000       21872847 
   23800     1000     -583.81827     -442.21127              0       -141.607           1000       21991531 
   23900     1000     -601.58563     -484.17173              0     -117.41389           1000       22137945 
   24000     1000     -542.69899     -431.12399              0     -111.57501           1000       21949368 
   24100     1000     -562.57125     -451.56618              0     -111.00506           1000       21993006 
   24200     1000     -580.29825      -467.7761              0     -112.52214           1000       22027507 
   24300     1000      -548.7379     -433.58411              0     -115.15379           1000       21958380 
   24400     1000     -568.04948     -425.73378              0      -142.3157           1000       21885859 
   24500     1000     -586.76006      -456.3536              0     -130.40645           1000       21956497 
   24600     1000     -604.56781     -488.73915              0     -115.82867           1000       22274029 
   24700     1000     -580.83459     -463.85966              0     -116.97493           1000       21868084 
   24800     1000     -550.19328     -429.73826              0     -120.45502           1000       21901375 
   24900     1000     -561.35051     -433.57555              0     -127.77496           1000       21815726 
   25000     1000     -586.74916     -465.53167              0     -121.21749           1000       21761859 
   25100     1000     -539.93877     -420.78954              0     -119.14923           1000       21737554 
   25200     1000     -570.24274     -454.30074              0       -115.942           1000       21677523 
   25300     1000     -530.62963      -415.0452              0     -115.58442           1000       21635292 
   25400     1000     -542.90067     -429.74513              0     -113.15554           1000       21914291 
